PUBLICATION DATE,FISCAL YEAR,MONTH,REVENUES/EXPENDITURES,DESCRIPTION,AMOUNT
20200928,2021,October,Revenues,Intra-City Revenue,-140
20200928,2021,October,Revenues,Disallowances,0
20200928,2021,October,Revenues,Other Categorical Grants,30
20200928,2021,October,Revenues,Inter-Fund Revenues,43
20200928,2021,October,Revenues,Federal Categorical Grants,490
20200928,2021,October,Revenues,State Categorical Grants,437
20200928,2021,October,Expenditures,Personal Service,4519
20200928,2021,October,Expenditures,Other Than Personal Service,2120
20200928,2021,October,Expenditures,Debt Service,75
20200928,2021,October,Expenditures,Capital Stabilization Reserve,0
20200928,2021,October,Expenditures,General Reserve,0
20200928,2021,October,Expenditures,Intra-City Expenses,-140
20200928,2021,November,Revenues,General Property Taxes,224
20200928,2021,November,Revenues,Other Taxes,1454
20200928,2021,November,Revenues,Miscellaneous Revenues,570
20200928,2021,November,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,November,Revenues,Intra-City Revenue,-83
20200928,2021,November,Revenues,Disallowances,0
20200928,2021,November,Revenues,Other Categorical Grants,16
20200928,2021,November,Revenues,Inter-Fund Revenues,31
20200928,2021,November,Revenues,Federal Categorical Grants,412
20200928,2021,November,Revenues,State Categorical Grants,954
20200928,2021,November,Expenditures,Personal Service,3667
20200928,2021,November,Expenditures,Other Than Personal Service,1991
20200928,2021,November,Expenditures,Debt Service,266
20200928,2021,November,Expenditures,Capital Stabilization Reserve,0
20200928,2021,November,Expenditures,General Reserve,0
20200928,2021,November,Expenditures,Intra-City Expenses,-83
20200928,2021,December,Revenues,General Property Taxes,8257
20200928,2021,December,Revenues,Other Taxes,2997
20200928,2021,December,Revenues,Miscellaneous Revenues,677
20200928,2021,December,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,December,Revenues,Intra-City Revenue,-244
20200928,2021,December,Revenues,Disallowances,0
20200928,2021,December,Revenues,Other Categorical Grants,98
20200928,2021,December,Revenues,Inter-Fund Revenues,36
20200928,2021,December,Revenues,Federal Categorical Grants,390
20200928,2021,December,Revenues,State Categorical Grants,1110
20200928,2021,December,Expenditures,Personal Service,3693
20200928,2021,December,Expenditures,Other Than Personal Service,1808
20200928,2021,December,Expenditures,Debt Service,41
20200928,2021,December,Expenditures,Capital Stabilization Reserve,0
20200928,2021,December,Expenditures,General Reserve,0
20200928,2021,December,Expenditures,Intra-City Expenses,-244
20200928,2021,January,Revenues,General Property Taxes,3638
20200928,2021,January,Revenues,Other Taxes,3061
20200928,2021,January,Revenues,Miscellaneous Revenues,706
20200928,2021,January,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,January,Revenues,Intra-City Revenue,-173
20200928,2021,January,Revenues,Disallowances,0
20200928,2021,January,Revenues,Other Categorical Grants,26
20200928,2021,January,Revenues,Inter-Fund Revenues,125
20200928,2021,January,Revenues,Federal Categorical Grants,604
20200928,2021,January,Revenues,State Categorical Grants,289
20200928,2021,January,Expenditures,Personal Service,4502
20200928,2021,January,Expenditures,Other Than Personal Service,2246
20200928,2021,January,Expenditures,Debt Service,552
20200928,2021,January,Expenditures,Capital Stabilization Reserve,0
20200928,2021,January,Expenditures,General Reserve,0
20200928,2021,January,Expenditures,Intra-City Expenses,-173
20200928,2021,February,Revenues,General Property Taxes,122
20200928,2021,February,Revenues,Other Taxes,1708
20200928,2021,February,Revenues,Miscellaneous Revenues,324
20200928,2021,February,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,February,Revenues,Intra-City Revenue,-78
20200928,2021,February,Revenues,Disallowances,0
20200928,2021,February,Revenues,Other Categorical Grants,15
20200928,2021,February,Revenues,Inter-Fund Revenues,42
20200928,2021,February,Revenues,Federal Categorical Grants,484
20200928,2021,February,Revenues,State Categorical Grants,331
20200928,2021,February,Expenditures,Personal Service,3763
20200928,2021,February,Expenditures,Other Than Personal Service,1913
20200928,2021,February,Expenditures,Debt Service,215
20200928,2021,February,Expenditures,Capital Stabilization Reserve,0
20200928,2021,February,Expenditures,General Reserve,0
20200928,2021,February,Expenditures,Intra-City Expenses,-78
20200928,2021,March,Revenues,General Property Taxes,1255
20200928,2021,March,Revenues,Other Taxes,2859
20200928,2021,March,Revenues,Miscellaneous Revenues,435
20200928,2021,March,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,March,Revenues,Intra-City Revenue,-107
20200928,2021,March,Revenues,Disallowances,0
20200928,2021,March,Revenues,Other Categorical Grants,102
20200928,2021,March,Revenues,Inter-Fund Revenues,70
20200928,2021,March,Revenues,Federal Categorical Grants,571
20200928,2021,March,Revenues,State Categorical Grants,4013
20200928,2021,March,Expenditures,Personal Service,3681
20200928,2021,March,Expenditures,Other Than Personal Service,1901
20200928,2021,March,Expenditures,Debt Service,158
20200928,2021,March,Expenditures,Capital Stabilization Reserve,0
20200928,2021,March,Expenditures,General Reserve,0
20200928,2021,March,Expenditures,Intra-City Expenses,-107
20200928,2021,April,Revenues,General Property Taxes,580
20200928,2021,April,Revenues,Other Taxes,3213
20200928,2021,April,Revenues,Miscellaneous Revenues,420
20200928,2021,April,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,April,Revenues,Intra-City Revenue,-154
20200928,2021,April,Revenues,Disallowances,0
20200928,2021,April,Revenues,Other Categorical Grants,23
20200928,2021,April,Revenues,Inter-Fund Revenues,112
20200928,2021,April,Revenues,Federal Categorical Grants,613
20200928,2021,April,Revenues,State Categorical Grants,609
20200928,2021,April,Expenditures,Personal Service,3716
20200928,2021,April,Expenditures,Other Than Personal Service,1946
20200928,2021,April,Expenditures,Debt Service,72
20200928,2021,April,Expenditures,Capital Stabilization Reserve,0
20200928,2021,April,Expenditures,General Reserve,0
20200928,2021,April,Expenditures,Intra-City Expenses,-154
20200928,2021,May,Revenues,General Property Taxes,44
20200928,2021,May,Revenues,Other Taxes,1584
20200928,2021,May,Revenues,Miscellaneous Revenues,487
20200928,2021,May,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,May,Revenues,Intra-City Revenue,-129
20200928,2021,May,Revenues,Disallowances,0
20200928,2021,May,Revenues,Other Categorical Grants,21
20200928,2021,May,Revenues,Inter-Fund Revenues,52
20200928,2021,May,Revenues,Federal Categorical Grants,779
20200928,2021,May,Revenues,State Categorical Grants,1911
20200928,2021,May,Expenditures,Personal Service,3739
20200928,2021,May,Expenditures,Other Than Personal Service,1362
20200928,2021,May,Expenditures,Debt Service,200
20200928,2021,May,Expenditures,Capital Stabilization Reserve,0
20200928,2021,May,Expenditures,General Reserve,0
20200928,2021,May,Expenditures,Intra-City Expenses,-129
20200928,2021,June,Revenues,General Property Taxes,77
20200928,2021,June,Revenues,Other Taxes,3437
20200928,2021,June,Revenues,Miscellaneous Revenues,806
20200928,2021,June,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,June,Revenues,Intra-City Revenue,-415
20200928,2021,June,Revenues,Disallowances,0
20200928,2021,June,Revenues,Other Categorical Grants,123
20200928,2021,June,Revenues,Inter-Fund Revenues,34
20200928,2021,June,Revenues,Federal Categorical Grants,715
20200928,2021,June,Revenues,State Categorical Grants,1229
20200928,2021,June,Expenditures,Personal Service,5611
20200928,2021,June,Expenditures,Other Than Personal Service,2392
20200928,2021,June,Expenditures,Debt Service,757
20200928,2021,June,Expenditures,Capital Stabilization Reserve,0
20200928,2021,June,Expenditures,General Reserve,0
20200928,2021,June,Expenditures,Intra-City Expenses,-415
20200928,2021,Post June,Revenues,General Property Taxes,1
20200928,2021,Post June,Revenues,Other Taxes,345
20200928,2021,Post June,Revenues,Miscellaneous Revenues,246
20200928,2021,Post June,Revenues,Unrestricted Intgvt.  Aid,0
20200928,2021,Post June,Revenues,Intra-City Revenue,-246
20200928,2021,Post June,Revenues,Disallowances,-15
20200928,2021,Post June,Revenues,Other Categorical Grants,306
20200928,2021,Post June,Revenues,Inter-Fund Revenues,85
20200928,2021,Post June,Revenues,Federal Categorical Grants,1762
20200928,2021,Post June,Revenues,State Categorical Grants,3696
20200928,2021,Post June,Expenditures,Personal Service,2748
20200928,2021,Post June,Expenditures,Other Than Personal Service,2166
20200928,2021,Post June,Expenditures,Debt Service,4
20200928,2021,Post June,Expenditures,Capital Stabilization Reserve,0
20200928,2021,Post June,Expenditures,General Reserve,100
20200928,2021,Post June,Expenditures,Intra-City Expenses,-246
20201020,2021,July,Revenues,General Property Taxes,14130
20201020,2021,July,Revenues,Other Taxes,1446
20201020,2021,July,Revenues,Miscellaneous Revenues,694
20201020,2021,July,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,July,Revenues,Intra-City Revenue,-2
20201020,2021,July,Revenues,Disallowances,0
20201020,2021,July,Revenues,Other Categorical Grants,2
20201020,2021,July,Revenues,Inter-Fund Revenues,0
20201020,2021,July,Revenues,Federal Categorical Grants,66
20201020,2021,July,Revenues,State Categorical Grants,2
20201020,2021,July,Expenditures,Personal Service,2096
20201020,2021,July,Expenditures,Other Than Personal Service,11307
20201020,2021,July,Expenditures,Debt Service,837
20201020,2021,July,Expenditures,Capital Stabilization Reserve,0
20201020,2021,July,Expenditures,General Reserve,0
20201020,2021,July,Expenditures,Intra-City Expenses,-2
20201020,2021,August,Revenues,General Property Taxes,198
20201020,2021,August,Revenues,Other Taxes,1318
20201020,2021,August,Revenues,Miscellaneous Revenues,488
20201020,2021,August,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,August,Revenues,Intra-City Revenue,-2
20201020,2021,August,Revenues,Disallowances,0
20201020,2021,August,Revenues,Other Categorical Grants,113
20201020,2021,August,Revenues,Inter-Fund Revenues,0
20201020,2021,August,Revenues,Federal Categorical Grants,307
20201020,2021,August,Revenues,State Categorical Grants,8
20201020,2021,August,Expenditures,Personal Service,3420
20201020,2021,August,Expenditures,Other Than Personal Service,5507
20201020,2021,August,Expenditures,Debt Service,146
20201020,2021,August,Expenditures,Capital Stabilization Reserve,0
20201020,2021,August,Expenditures,General Reserve,0
20201020,2021,August,Expenditures,Intra-City Expenses,-2
20201020,2021,September,Revenues,General Property Taxes,1372
20201020,2021,September,Revenues,Other Taxes,2853
20201020,2021,September,Revenues,Miscellaneous Revenues,395
20201020,2021,September,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,September,Revenues,Intra-City Revenue,-52
20201020,2021,September,Revenues,Disallowances,0
20201020,2021,September,Revenues,Other Categorical Grants,97
20201020,2021,September,Revenues,Inter-Fund Revenues,47
20201020,2021,September,Revenues,Federal Categorical Grants,344
20201020,2021,September,Revenues,State Categorical Grants,830
20201020,2021,September,Expenditures,Personal Service,3641
20201020,2021,September,Expenditures,Other Than Personal Service,2227
20201020,2021,September,Expenditures,Debt Service,275
20201020,2021,September,Expenditures,Capital Stabilization Reserve,0
20201020,2021,September,Expenditures,General Reserve,0
20201020,2021,September,Expenditures,Intra-City Expenses,-52
20201020,2021,October,Revenues,General Property Taxes,885
20201020,2021,October,Revenues,Other Taxes,1805
20201020,2021,October,Revenues,Miscellaneous Revenues,664
20201020,2021,October,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,October,Revenues,Intra-City Revenue,-142
20201020,2021,October,Revenues,Disallowances,0
20201020,2021,October,Revenues,Other Categorical Grants,30
20201020,2021,October,Revenues,Inter-Fund Revenues,43
20201020,2021,October,Revenues,Federal Categorical Grants,491
20201020,2021,October,Revenues,State Categorical Grants,436
20201020,2021,October,Expenditures,Personal Service,4061
20201020,2021,October,Expenditures,Other Than Personal Service,2072
20201020,2021,October,Expenditures,Debt Service,75
20201020,2021,October,Expenditures,Capital Stabilization Reserve,0
20201020,2021,October,Expenditures,General Reserve,0
20201020,2021,October,Expenditures,Intra-City Expenses,-142
20201020,2021,November,Revenues,General Property Taxes,224
20201020,2021,November,Revenues,Other Taxes,1454
20201020,2021,November,Revenues,Miscellaneous Revenues,544
20201020,2021,November,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,November,Revenues,Intra-City Revenue,-85
20201020,2021,November,Revenues,Disallowances,0
20201020,2021,November,Revenues,Other Categorical Grants,16
20201020,2021,November,Revenues,Inter-Fund Revenues,31
20201020,2021,November,Revenues,Federal Categorical Grants,413
20201020,2021,November,Revenues,State Categorical Grants,954
20201020,2021,November,Expenditures,Personal Service,3659
20201020,2021,November,Expenditures,Other Than Personal Service,1925
20201020,2021,November,Expenditures,Debt Service,266
20201020,2021,November,Expenditures,Capital Stabilization Reserve,0
20201020,2021,November,Expenditures,General Reserve,0
20201020,2021,November,Expenditures,Intra-City Expenses,-85
20201020,2021,December,Revenues,General Property Taxes,8257
20201020,2021,December,Revenues,Other Taxes,2997
20201020,2021,December,Revenues,Miscellaneous Revenues,680
20201020,2021,December,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,December,Revenues,Intra-City Revenue,-246
20201020,2021,December,Revenues,Disallowances,0
20201020,2021,December,Revenues,Other Categorical Grants,98
20201020,2021,December,Revenues,Inter-Fund Revenues,36
20201020,2021,December,Revenues,Federal Categorical Grants,390
20201020,2021,December,Revenues,State Categorical Grants,1110
20201020,2021,December,Expenditures,Personal Service,3686
20201020,2021,December,Expenditures,Other Than Personal Service,1771
20201020,2021,December,Expenditures,Debt Service,41
20201020,2021,December,Expenditures,Capital Stabilization Reserve,0
20201020,2021,December,Expenditures,General Reserve,0
20201020,2021,December,Expenditures,Intra-City Expenses,-246
20201020,2021,January,Revenues,General Property Taxes,3638
20201020,2021,January,Revenues,Other Taxes,3061
20201020,2021,January,Revenues,Miscellaneous Revenues,710
20201020,2021,January,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,January,Revenues,Intra-City Revenue,-175
20201020,2021,January,Revenues,Disallowances,0
20201020,2021,January,Revenues,Other Categorical Grants,26
20201020,2021,January,Revenues,Inter-Fund Revenues,125
20201020,2021,January,Revenues,Federal Categorical Grants,603
20201020,2021,January,Revenues,State Categorical Grants,288
20201020,2021,January,Expenditures,Personal Service,4498
20201020,2021,January,Expenditures,Other Than Personal Service,2159
20201020,2021,January,Expenditures,Debt Service,487
20201020,2021,January,Expenditures,Capital Stabilization Reserve,0
20201020,2021,January,Expenditures,General Reserve,0
20201020,2021,January,Expenditures,Intra-City Expenses,-175
20201020,2021,February,Revenues,General Property Taxes,122
20201020,2021,February,Revenues,Other Taxes,1708
20201020,2021,February,Revenues,Miscellaneous Revenues,318
20201020,2021,February,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,February,Revenues,Intra-City Revenue,-80
20201020,2021,February,Revenues,Disallowances,0
20201020,2021,February,Revenues,Other Categorical Grants,15
20201020,2021,February,Revenues,Inter-Fund Revenues,42
20201020,2021,February,Revenues,Federal Categorical Grants,485
20201020,2021,February,Revenues,State Categorical Grants,331
20201020,2021,February,Expenditures,Personal Service,3752
20201020,2021,February,Expenditures,Other Than Personal Service,1854
20201020,2021,February,Expenditures,Debt Service,215
20201020,2021,February,Expenditures,Capital Stabilization Reserve,0
20201020,2021,February,Expenditures,General Reserve,0
20201020,2021,February,Expenditures,Intra-City Expenses,-80
20201020,2021,March,Revenues,General Property Taxes,1255
20201020,2021,March,Revenues,Other Taxes,2859
20201020,2021,March,Revenues,Miscellaneous Revenues,460
20201020,2021,March,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,March,Revenues,Intra-City Revenue,-109
20201020,2021,March,Revenues,Disallowances,0
20201020,2021,March,Revenues,Other Categorical Grants,102
20201020,2021,March,Revenues,Inter-Fund Revenues,70
20201020,2021,March,Revenues,Federal Categorical Grants,572
20201020,2021,March,Revenues,State Categorical Grants,4013
20201020,2021,March,Expenditures,Personal Service,3673
20201020,2021,March,Expenditures,Other Than Personal Service,1776
20201020,2021,March,Expenditures,Debt Service,158
20201020,2021,March,Expenditures,Capital Stabilization Reserve,0
20201020,2021,March,Expenditures,General Reserve,0
20201020,2021,March,Expenditures,Intra-City Expenses,-109
20201020,2021,April,Revenues,General Property Taxes,580
20201020,2021,April,Revenues,Other Taxes,3213
20201020,2021,April,Revenues,Miscellaneous Revenues,432
20201020,2021,April,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,April,Revenues,Intra-City Revenue,-156
20201020,2021,April,Revenues,Disallowances,0
20201020,2021,April,Revenues,Other Categorical Grants,23
20201020,2021,April,Revenues,Inter-Fund Revenues,112
20201020,2021,April,Revenues,Federal Categorical Grants,614
20201020,2021,April,Revenues,State Categorical Grants,609
20201020,2021,April,Expenditures,Personal Service,3708
20201020,2021,April,Expenditures,Other Than Personal Service,1853
20201020,2021,April,Expenditures,Debt Service,72
20201020,2021,April,Expenditures,Capital Stabilization Reserve,0
20201020,2021,April,Expenditures,General Reserve,0
20201020,2021,April,Expenditures,Intra-City Expenses,-156
20201020,2021,May,Revenues,General Property Taxes,44
20201020,2021,May,Revenues,Other Taxes,1584
20201020,2021,May,Revenues,Miscellaneous Revenues,494
20201020,2021,May,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,May,Revenues,Intra-City Revenue,-131
20201020,2021,May,Revenues,Disallowances,0
20201020,2021,May,Revenues,Other Categorical Grants,22
20201020,2021,May,Revenues,Inter-Fund Revenues,52
20201020,2021,May,Revenues,Federal Categorical Grants,780
20201020,2021,May,Revenues,State Categorical Grants,1911
20201020,2021,May,Expenditures,Personal Service,3732
20201020,2021,May,Expenditures,Other Than Personal Service,1265
20201020,2021,May,Expenditures,Debt Service,200
20201020,2021,May,Expenditures,Capital Stabilization Reserve,0
20201020,2021,May,Expenditures,General Reserve,0
20201020,2021,May,Expenditures,Intra-City Expenses,-131
20201020,2021,June,Revenues,General Property Taxes,77
20201020,2021,June,Revenues,Other Taxes,3437
20201020,2021,June,Revenues,Miscellaneous Revenues,835
20201020,2021,June,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,June,Revenues,Intra-City Revenue,-416
20201020,2021,June,Revenues,Disallowances,0
20201020,2021,June,Revenues,Other Categorical Grants,123
20201020,2021,June,Revenues,Inter-Fund Revenues,34
20201020,2021,June,Revenues,Federal Categorical Grants,716
20201020,2021,June,Revenues,State Categorical Grants,1229
20201020,2021,June,Expenditures,Personal Service,5603
20201020,2021,June,Expenditures,Other Than Personal Service,2224
20201020,2021,June,Expenditures,Debt Service,776
20201020,2021,June,Expenditures,Capital Stabilization Reserve,0
20201020,2021,June,Expenditures,General Reserve,0
20201020,2021,June,Expenditures,Intra-City Expenses,-416
20201020,2021,Post June,Revenues,General Property Taxes,-91
20201020,2021,Post June,Revenues,Other Taxes,216
20201020,2021,Post June,Revenues,Miscellaneous Revenues,246
20201020,2021,Post June,Revenues,Unrestricted Intgvt.  Aid,0
20201020,2021,Post June,Revenues,Intra-City Revenue,-246
20201020,2021,Post June,Revenues,Disallowances,-15
20201020,2021,Post June,Revenues,Other Categorical Grants,308
20201020,2021,Post June,Revenues,Inter-Fund Revenues,85
20201020,2021,Post June,Revenues,Federal Categorical Grants,1589
20201020,2021,Post June,Revenues,State Categorical Grants,3704
20201020,2021,Post June,Expenditures,Personal Service,3117
20201020,2021,Post June,Expenditures,Other Than Personal Service,1796
20201020,2021,Post June,Expenditures,Debt Service,4
20201020,2021,Post June,Expenditures,Capital Stabilization Reserve,0
20201020,2021,Post June,Expenditures,General Reserve,100
20201020,2021,Post June,Expenditures,Intra-City Expenses,-246
20201113,2021,July,Revenues,General Property Taxes,14130
20201113,2021,July,Revenues,Other Taxes,1446
20201113,2021,July,Revenues,Miscellaneous Revenues,694
20201113,2021,July,Revenues,Unrestricted Intgvt.  Aid,0
20201113,2021,July,Revenues,Intra-City Revenue,-2
20201113,2021,July,Revenues,Disallowances,0
20201113,2021,July,Revenues,Other Categorical Grants,2
20201113,2021,July,Revenues,Inter-Fund Revenues,0
20201113,2021,July,Revenues,Federal Categorical Grants,66
20201113,2021,July,Revenues,State Categorical Grants,2
20201113,2021,July,Expenditures,Personal Service,2096
20201113,2021,July,Expenditures,Other Than Personal Service,11307
20201113,2021,July,Expenditures,Debt Service,837
20201113,2021,July,Expenditures,Capital Stabilization Reserve,0
20201113,2021,July,Expenditures,General Reserve,0
20201113,2021,July,Expenditures,Intra-City Expenses,-2
20201113,2021,August,Revenues,General Property Taxes,198
20201113,2021,August,Revenues,Other Taxes,1318
20201113,2021,August,Revenues,Miscellaneous Revenues,488
20201113,2021,August,Revenues,Unrestricted Intgvt.  Aid,0
20201113,2021,August,Revenues,Intra-City Revenue,-2
20201113,2021,August,Revenues,Disallowances,0
20201113,2021,August,Revenues,Other Categorical Grants,113
20201113,2021,August,Revenues,Inter-Fund Revenues,0
20201113,2021,August,Revenues,Federal Categorical Grants,307
20201113,2021,August,Revenues,State Categorical Grants,8
20201113,2021,August,Expenditures,Personal Service,3420
20201113,2021,August,Expenditures,Other Than Personal Service,5507
20201113,2021,August,Expenditures,Debt Service,146
20201113,2021,August,Expenditures,Capital Stabilization Reserve,0
20201113,2021,August,Expenditures,General Reserve,0
20201113,2021,August,Expenditures,Intra-City Expenses,-2
20201113,2021,September,Revenues,General Property Taxes,1422
20201113,2021,September,Revenues,Other Taxes,3341
20201113,2021,September,Revenues,Miscellaneous Revenues,501
20201113,2021,September,Revenues,Unrestricted Intgvt.  Aid,0
20201113,2021,September,Revenues,Intra-City Revenue,-22
20201113,2021,September,Revenues,Disallowances,0
20201113,2021,September,Revenues,Other Categorical Grants,4
20201113,2021,September,Revenues,Inter-Fund Revenues,35
20201113,2021,September,Revenues,Federal Categorical Grants,107
20201113,2021,September,Revenues,State Categorical Grants,799
20201113,2021,September,Expenditures,Personal Service,3619
20201113,2021,September,Expenditures,Other Than Personal Service,3030
20201113,2021,September,Expenditures,Debt Service,265
20201113,2021,September,Expenditures,Capital Stabilization Reserve,0
20201113,2021,September,Expenditures,General Reserve,0
20201113,2021,September,Expenditures,Intra-City Expenses,-22
20201113,2021,October,Revenues,General Property Taxes,885
20201113,2021,October,Revenues,Other Taxes,1805
20201113,2021,October,Revenues,Miscellaneous Revenues,568
20201113,2021,October,Revenues,Unrestricted Intgvt.  Aid,0
20201113,2021,October,Revenues,Intra-City Revenue,-146
20201113,2021,October,Revenues,Disallowances,0
20201113,2021,October,Revenues,Other Categorical Grants,112
20201113,2021,October,Revenues,Inter-Fund Revenues,45
20201113,2021,October,Revenues,Federal Categorical Grants,488
20201113,2021,October,Revenues,State Categorical Grants,439
20201113,2021,October,Expenditures,Personal Service,4059
20201113,2021,October,Expenditures,Other Than Personal Service,1979
20201113,2021,October,Expenditures,Debt Service,38
20201113,2021,October,Expenditures,Capital Stabilization Reserve,0
20201113,2021,October,Expenditures,General Reserve,0
20201113,2021,October,Expenditures,Intra-City Expenses,-146
20201113,2021,November,Revenues,General Property Taxes,224
20201113,2021,November,Revenues,Other Taxes,1454
20201113,2021,November,Revenues,Miscellaneous Revenues,548
20201113,2021,November,Revenues,Unrestricted Intgvt.  Aid,0
20201113,2021,November,Revenues,Intra-City Revenue,-88
20201113,2021,November,Revenues,Disallowances,0
20201113,2021,November,Revenues,Other Categorical Grants,16
20201113,2021,November,Revenues,Inter-Fund Revenues,32
20201113,2021,November,Revenues,Federal Categorical Grants,435
20201113,2021,November,Revenues,State Categorical Grants,883
20201113,2021,November,Expenditures,Personal Service,3658
20201113,2021,November,Expenditures,Other Than Personal Service,1925
20201113,2021,November,Expenditures,Debt Service,266
20201113,2021,November,Expenditures,Capital Stabilization Reserve,0
20201113,2021,November,Expenditures,General Reserve,0
20201113,2021,November,Expenditures,Intra-City Expenses,-88
20201113,2021,December,Revenues,General Property Taxes,8257
20201113,2021,December,Revenues,Other Taxes,2997
20201113,2021,December,Revenues,Miscellaneous Revenues,692
20201113,2021,December,Revenues,Unrestricted Intgvt.  Aid,0
20201113,2021,December,Revenues,Intra-City Revenue,-250
20201113,2021,December,Revenues,Disallowances,0
20201113,2021,December,Revenues,Other Categorical Grants,98
20201113,2021,December,Revenues,Inter-Fund Revenues,37
20201113,2021,December,Revenues,Federal Categorical Grants,411
20201113,2021,December,Revenues,State Categorical Grants,1123
20201113,2021,December,Expenditures,Personal Service,3684
20201113,2021,December,Expenditures,Other Than Personal Service,1733
20201113,2021,December,Expenditures,Debt Service,41
20201113,2021,December,Expenditures,Capital Stabilization Reserve,0
20201113,2021,December,Expenditures,General Reserve,0
20201113,2021,December,Expenditures,Intra-City Expenses,-250
20201113,2021,January,Revenues,General Property Taxes,3638
20201113,2021,January,Revenues,Other Taxes,3061
20201113,2021,January,Revenues,Miscellaneous Revenues,717
20201113,2021,January,Revenues,Unrestricted Intgvt.  Aid,0
20201113,2021,January,Revenues,Intra-City Revenue,-178
20201113,2021,January,Revenues,Disallowances,0
20201113,2021,January,Revenues,Other Categorical Grants,26
20201113,2021,January,Revenues,Inter-Fund Revenues,127
20201113,2021,January,Revenues,Federal Categorical Grants,625
20201113,2021,January,Revenues,State Categorical Grants,302
20201113,2021,January,Expenditures,Personal Service,4496
20201113,2021,January,Expenditures,Other Than Personal Service,2134
20201113,2021,January,Expenditures,Debt Service,487
